Symbol,Date,Close,Volume,Dayoff
FPT,2022-08-31,86600.0,1170000.0,No
GAS,2022-08-31,117100.0,429300.0,No
GVR,2022-08-31,26350.0,1890000.0,No
HDB,2022-08-31,21360.0,2980000.0,No
HPG,2022-08-31,23000.0,14980000.0,No
KDH,2022-08-31,37000.0,1030000.0,No
MBB,2022-08-31,23750.0,6930000.0,No
MSN,2022-08-31,114500.0,786700.0,No
MWG,2022-08-31,74000.0,4620000.0,No
NVL,2022-08-31,81900.0,1660000.0,No
PDR,2022-08-31,55200.0,2290000.0,No
PLX,2022-08-31,42200.0,1100000.0,No
POW,2022-08-31,14000.0,15220000.0,No
SAB,2022-08-31,187900.0,126000.0,No
SSI,2022-08-31,24000.0,10850000.0,No
STB,2022-08-31,24800.0,7670000.0,No
TCB,2022-08-31,38950.0,2270000.0,No
TPB,2022-08-31,28000.0,585300.0,No
VCB,2022-08-31,84000.0,1060000.0,No
VHM,2022-08-31,61000.0,2840000.0,No
VIB,2022-08-31,25000.0,1230000.0,No
VIC,2022-08-31,63700.0,1240000.0,No
VJC,2022-08-31,121600.0,526400.0,No
VNM,2022-08-31,75500.0,1660000.0,No
VPB,2022-08-31,21200.0,12680000.0,No
VRE,2022-08-31,27700.0,2060000.0,No
ACB,2022-09-01,24650.0,1970000.0,Yes
BID,2022-09-01,40000.0,1620000.0,Yes
BVH,2022-09-01,58500.0,2860000.0,Yes
CTG,2022-09-01,28250.0,2080000.0,Yes
FPT,2022-09-01,86600.0,1170000.0,Yes
GAS,2022-09-01,117100.0,429300.0,Yes
GVR,2022-09-01,26350.0,1890000.0,Yes
HDB,2022-09-01,21360.0,2980000.0,Yes
HPG,2022-09-01,23000.0,14980000.0,Yes
KDH,2022-09-01,37000.0,1030000.0,Yes
MBB,2022-09-01,23750.0,6930000.0,Yes
MSN,2022-09-01,114500.0,786700.0,Yes
MWG,2022-09-01,74000.0,4620000.0,Yes
NVL,2022-09-01,81900.0,1660000.0,Yes
PDR,2022-09-01,55200.0,2290000.0,Yes
PLX,2022-09-01,42200.0,1100000.0,Yes
POW,2022-09-01,14000.0,15220000.0,Yes
SAB,2022-09-01,187900.0,126000.0,Yes
SSI,2022-09-01,24000.0,10850000.0,Yes
STB,2022-09-01,24800.0,7670000.0,Yes
TCB,2022-09-01,38950.0,2270000.0,Yes
TPB,2022-09-01,28000.0,585300.0,Yes
VCB,2022-09-01,84000.0,1060000.0,Yes
VHM,2022-09-01,61000.0,2840000.0,Yes
VIB,2022-09-01,25000.0,1230000.0,Yes
VIC,2022-09-01,63700.0,1240000.0,Yes
VJC,2022-09-01,121600.0,526400.0,Yes
VNM,2022-09-01,75500.0,1660000.0,Yes
VPB,2022-09-01,21200.0,12680000.0,Yes
VRE,2022-09-01,27700.0,2060000.0,Yes
ACB,2022-09-02,24650.0,1970000.0,Yes
BID,2022-09-02,40000.0,1620000.0,Yes
BVH,2022-09-02,58500.0,2860000.0,Yes
CTG,2022-09-02,28250.0,2080000.0,Yes
FPT,2022-09-02,86600.0,1170000.0,Yes
GAS,2022-09-02,117100.0,429300.0,Yes
GVR,2022-09-02,26350.0,1890000.0,Yes
HDB,2022-09-02,21360.0,2980000.0,Yes
HPG,2022-09-02,23000.0,14980000.0,Yes
KDH,2022-09-02,37000.0,1030000.0,Yes
MBB,2022-09-02,23750.0,6930000.0,Yes
MSN,2022-09-02,114500.0,786700.0,Yes
MWG,2022-09-02,74000.0,4620000.0,Yes
NVL,2022-09-02,81900.0,1660000.0,Yes
PDR,2022-09-02,55200.0,2290000.0,Yes
PLX,2022-09-02,42200.0,1100000.0,Yes
POW,2022-09-02,14000.0,15220000.0,Yes
SAB,2022-09-02,187900.0,126000.0,Yes
SSI,2022-09-02,24000.0,10850000.0,Yes
STB,2022-09-02,24800.0,7670000.0,Yes
TCB,2022-09-02,38950.0,2270000.0,Yes
TPB,2022-09-02,28000.0,585300.0,Yes
VCB,2022-09-02,84000.0,1060000.0,Yes
VHM,2022-09-02,61000.0,2840000.0,Yes
VIB,2022-09-02,25000.0,1230000.0,Yes
VIC,2022-09-02,63700.0,1240000.0,Yes
VJC,2022-09-02,121600.0,526400.0,Yes
VNM,2022-09-02,75500.0,1660000.0,Yes
VPB,2022-09-02,21200.0,12680000.0,Yes
VRE,2022-09-02,27700.0,2060000.0,Yes
ACB,2022-09-03,24650.0,1970000.0,Yes
BID,2022-09-03,40000.0,1620000.0,Yes
BVH,2022-09-03,58500.0,2860000.0,Yes
CTG,2022-09-03,28250.0,2080000.0,Yes
FPT,2022-09-03,86600.0,1170000.0,Yes
GAS,2022-09-03,117100.0,429300.0,Yes
GVR,2022-09-03,26350.0,1890000.0,Yes
HDB,2022-09-03,21360.0,2980000.0,Yes
HPG,2022-09-03,23000.0,14980000.0,Yes
KDH,2022-09-03,37000.0,1030000.0,Yes
MBB,2022-09-03,23750.0,6930000.0,Yes
MSN,2022-09-03,114500.0,786700.0,Yes
MWG,2022-09-03,74000.0,4620000.0,Yes
NVL,2022-09-03,81900.0,1660000.0,Yes
PDR,2022-09-03,55200.0,2290000.0,Yes
PLX,2022-09-03,42200.0,1100000.0,Yes
POW,2022-09-03,14000.0,15220000.0,Yes
SAB,2022-09-03,187900.0,126000.0,Yes
SSI,2022-09-03,24000.0,10850000.0,Yes
STB,2022-09-03,24800.0,7670000.0,Yes
TCB,2022-09-03,38950.0,2270000.0,Yes
TPB,2022-09-03,28000.0,585300.0,Yes
VCB,2022-09-03,84000.0,1060000.0,Yes
VHM,2022-09-03,61000.0,2840000.0,Yes
VIB,2022-09-03,25000.0,1230000.0,Yes
VIC,2022-09-03,63700.0,1240000.0,Yes
VJC,2022-09-03,121600.0,526400.0,Yes
VNM,2022-09-03,75500.0,1660000.0,Yes
VPB,2022-09-03,21200.0,12680000.0,Yes
VRE,2022-09-03,27700.0,2060000.0,Yes
ACB,2022-09-04,24650.0,1970000.0,Yes
BID,2022-09-04,40000.0,1620000.0,Yes
BVH,2022-09-04,58500.0,2860000.0,Yes
CTG,2022-09-04,28250.0,2080000.0,Yes
FPT,2022-09-04,86600.0,1170000.0,Yes
GAS,2022-09-04,117100.0,429300.0,Yes
GVR,2022-09-04,26350.0,1890000.0,Yes
HDB,2022-09-04,21360.0,2980000.0,Yes
HPG,2022-09-04,23000.0,14980000.0,Yes
